seed,best_f,n_evals
1,2.575148142869115e-14,50000
2,7.86665412296269e-15,50000
3,5.281700773834857e-14,50000
4,2.9233681802065104e-14,50000
5,4.055789293921639e-14,50000
6,1.3142932231808455e-13,50000
7,5.215258590122736e-14,50000
8,2.4717947619528474e-14,50000
9,1.2523055646862502e-13,50000
10,1.4248753024848733e-13,50000
11,3.38803200548329e-13,50000
12,1.3481946880776425e-13,50000
13,3.6312516052473215e-13,50000
14,3.7369536253783146e-13,50000
15,5.3797808700527876e-14,50000
16,9.531052117925067e-14,50000
17,9.670874122219548e-14,50000
18,6.543324656095914e-14,50000
19,8.920449730921033e-14,50000
20,6.035987553106028e-14,50000
