seed,best_f,n_evals
1,4.015790077738201e-08,50000
2,1.4415077950059305e-07,50000
3,5.799340178093318e-08,50000
4,1.5800294106647933e-08,50000
5,5.860511925904318e-08,50000
6,4.518730675695794e-08,50000
7,1.9715522089271468e-07,50000
8,6.158983759788832e-09,50000
9,6.612439457393506e-08,50000
10,3.569437927115974e-08,50000
11,1.9860019734595067e-08,50000
12,4.613911759146927e-08,50000
13,1.9640394305720835e-08,50000
14,1.900219893856288e-08,50000
15,5.2310538055154295e-08,50000
16,1.346988462800361e-07,50000
17,1.3297174311731129e-07,50000
18,1.8072200699463564e-08,50000
19,2.8372820560784612e-08,50000
20,4.418273674333507e-08,50000
